topic,department,concept
A527 environmental law: pollution control (4 credits),department of environmental law,environmental law
A545 international environmental law (3 credits),department of environmental law,international environmental law
B529 advanced environmental law and practice,department of environmental law,environmental practice
B529 advanced environmental law and practice,department of environmental law,advanced environmental law
B595: advanced environmental law and practice,department of environmental law,environmental practice
B595: advanced environmental law and practice,department of environmental law,advanced environmental law
L740: seminar in advanced environmental law,department of environmental law,seminar
L740: seminar in advanced environmental law,department of environmental law,advanced environmental law
L783: international environmental law,department of environmental law,international environmental law
Emerging topics in environmental law (llm only),department of environmental law,emerging topics
Emerging topics in environmental law (llm only),department of environmental law,environmental law
Environmental law advocacy i,department of environmental law,advocacy
Environmental law advocacy i,department of environmental law,environmental law
Legal research: environmental law,department of environmental law,environmental law
Legal research: environmental law,department of environmental law,legal research
"Environmental law (cary coglianese, shelley welton)",department of environmental law,environmental law
Environmental law practicum (adam cutler),department of environmental law,practicum
Environmental law practicum (adam cutler),department of environmental law,environmental law
Environmental law and policy,department of environmental law,policy
Environmental law and policy,department of environmental law,environmental law
Environmental law and policy,department of law,policy
Environmental law and policy,department of law,environmental law
Environmental law: gaps and unintended consequences,department of environmental law,environmental law
"Environmental law seminar (rotating topics such as environmental justice, climate change law)",department of environmental law,climate change law
"Environmental law seminar (rotating topics such as environmental justice, climate change law)",department of environmental law,environmental justice
"Environmental law seminar (rotating topics such as environmental justice, climate change law)",department of environmental law,environmental law seminar
Environmental law seminar -- natural resources,department of environmental law,natural resources
Environmental law seminar -- natural resources,department of environmental law,environmental law seminar
Climate change law policy and science,department of environmental law,climate change law
Climate change law policy and science,department of environmental law,climate change policy
Natural resources law or environmental policy & natural resources law,department of environmental law,environmental policy
Natural resources law or environmental policy & natural resources law,department of environmental law,natural resources law
Ocean and coastal law and policy,department of environmental law,coastal law
Ocean and coastal law and policy,department of environmental law,ocean law
A509 administrative law (4 credits),department of environmental law,administrative law
B585 natural resources law (4 credits),department of environmental law,natural resources law
A525 water law (3 credits),department of environmental law,water law
A540 land use planning (3 credits),department of environmental law,land use planning
A565 american indian law (4 credits),department of environmental law,american indian law
B565 u.s. coastal and ocean law (4 credits),department of environmental law,ocean law
E596 wildlife law (3 credits),department of environmental law,wildlife law
E598 climate change and the law (4 credits),department of environmental law,climate change
E598 climate change and the law (4 credits),department of environmental law,law
B713: administrative law,department of environmental law,administrative law
B506: law and climate change,department of environmental law,climate change
B506: law and climate change,department of environmental law,law
L644: seminar in energy law and policy,department of environmental law,policy
L644: seminar in energy law and policy,department of environmental law,energy law
B768: water law,department of environmental law,water law
B550: wildlife law,department of environmental law,wildlife law
Climate change: international law,department of environmental law,climate change
Climate change: international law,department of environmental law,international law
Climate change: us law & policy,department of environmental law,policy
Climate change: us law & policy,department of environmental law,climate change
Energy law: electricity regulation,department of environmental law,energy law
Energy resources: law & policy,department of environmental law,policy
Energy resources: law & policy,department of environmental law,energy resources
Energy resources: law & policy,department of environmental law,law
Environmental justice/civil rights practicum,department of environmental law,environmental justice
Environmental justice/civil rights practicum,department of environmental law,civil rights
Environmental negotiation and mediation,department of environmental law,mediation
Forest law & policy,department of environmental law,policy
Hazardous waste law *,department of environmental law,hazardous waste
Hazardous waste law *,department of environmental law,law
Law of the columbia basin *,department of environmental law,law
"Law, science & environment *",department of environmental law,environment
"Law, science & environment *",department of environmental law,law
"Law, science & environment *",department of environmental law,science
Legal research: administrative law*,department of environmental law,administrative law
Legal research: administrative law*,department of environmental law,legal research
Native american natural resources law*,department of environmental law,natural resources law
Ocean & coastal law,department of environmental law,coastal law
Ocean & coastal law,department of environmental law,ocean law
Renewable energy law and policy,department of environmental law,energy policy
Renewable energy development & finance *,department of environmental law,finance
Supreme court and the environment*,department of environmental law,supreme court
Supreme court and the environment*,department of environmental law,environment
Sustainability in law and business,department of environmental law,sustainability
Sustainability in law and business,department of environmental law,business
Sustainability in law and business,department of environmental law,law
"Administrative law (cary coglianese, sophia lee, matthew lee wiener)",department of environmental law,administrative law
Advanced regulatory law and policy (cary coglianese),department of environmental law,policy
Advanced regulatory law and policy (cary coglianese),department of environmental law,regulatory law
Climate change and the energy evolution (maggie peloso and kaam sahely),department of environmental law,climate change
Climate change seminar,department of environmental law,seminar
Climate change seminar,department of environmental law,climate change
Energy law and climate change (ed comer and ken kulak),department of environmental law,energy law
Energy law and climate change (ed comer and ken kulak),department of environmental law,climate change
Introduction to energy policy (kleinman center for energy policy course) (shelley welton),department of environmental law,energy policy
Just transition law and lawyering (amy laura cahn),department of environmental law,lawyering
Un climate negotiation and the impact of subnational actors (william burke-white and mauricio rodas),department of environmental law,impact
Prof. cary coglianese on ai’s role in climate change mitigation,department of environmental law,ai
"Food, agriculture and the environment: law & policy",department of environmental law,food law
"Food, agriculture and the environment: law & policy",department of environmental law,environmental law
"Food, agriculture and the environment: law & policy",department of environmental law,policy
Global climate change law & policy,department of environmental law,policy
Sustainable cities practicum,department of environmental law,sustainable cities
Sustainable development & international trade,department of environmental law,sustainable development
Sustainable development & international trade,department of environmental law,international trade
Environmental and climate justice clinic,department of environmental law,environmental justice
Environmental and climate justice clinic,department of environmental law,climate justice
"Study climate, environmental, and energy law litigation and dispute resolution",department of environmental law,environmental law
"Study climate, environmental, and energy law litigation and dispute resolution",department of environmental law,dispute resolution
"Study climate, environmental, and energy law litigation and dispute resolution",department of environmental law,litigation
"Study climate, environmental, and energy law litigation and dispute resolution",department of environmental law,energy law
Energy law and regulation,department of environmental law,energy law
Energy law and regulation,department of environmental law,regulation
Environmental and energy law program,department of environmental law,environmental law
Environmental and energy law program,department of environmental law,energy law
Michigan journal of environmental and administrative law,department of environmental law,environmental law
Michigan journal of environmental and administrative law,department of environmental law,administrative law
Law and environment and sustainability dual degree,department of environmental law,sustainability
Law and environment and sustainability dual degree,department of environmental law,law
Law and environment and sustainability dual degree,department of environmental law,environment
Dow sustainability fellowships,department of environmental law,sustainability
International law of climate change,department of environmental law,climate change
International law of climate change,department of environmental law,international law
Property and environmental ethics,department of environmental law,property
Property and environmental ethics,department of environmental law,environmental ethics
Policy work & experiential learning,department of environmental law,experiential learning
"Global challenges in law, agriculture, development and ecology",department of environmental law,development
"Global challenges in law, agriculture, development and ecology",department of environmental law,global challenges
"Global challenges in law, agriculture, development and ecology",department of environmental law,law
"Global challenges in law, agriculture, development and ecology",department of environmental law,ecology
Renewable energy law practice,department of environmental law,renewable energy
Special topics,department of environmental law,special topics
Special topics,department of physiology,special topics
Independent research,department of environmental law,independent research
B500 civil procedure ii,department of environmental law,civil procedure
B507 federal courts & the federal system,department of environmental law,federal courts
B523 negotiations,department of environmental law,negotiations
B525 alternative dispute resolution,department of environmental law,alternative dispute resolution
Admiralty,department of environmental law,admiralty
Climate change and energy policy,department of environmental law,energy policy
Climate change and energy policy,department of environmental law,climate change
Environmental hazards associated with real property,department of environmental law,environmental hazards
Environmental practice,department of environmental law,environmental practice
International trade and the environment,department of environmental law,international trade
International trade and the environment,department of environmental law,environment
Legislation,department of environmental law,legislation
Field courses in environmental science,department of environmental science,environmental science
Semester in environmental science/mbl,department of environmental science,environmental science
Semester in environmental science/mbl,department of environmental science,semester
Environmental science and public policy,department of environmental science,public policy
Environmental science and public policy,department of environmental science,environmental science
"Get an m.s., m.p.s. or ph.d. in environmental science with areas of study in",department of environmental science,environmental science
Ecology & environmental science,department of environmental science,environmental science
Ecology & environmental science,department of environmental science,ecology
Environ 226s (field methods in earth and environmental sciences) (f),department of environmental science,field methods
Environ 226s (field methods in earth and environmental sciences) (f),department of environmental science,environmental sciences
Environ 226s (field methods in earth and environmental sciences) (f),department of environmental science,earth sciences
Concentration in conservation and restoration ecology,department of sustainability,restoration ecology
Concentration in conservation and restoration ecology,department of sustainability,conservation ecology
Concentration in conservation and restoration ecology,department of environmental science,restoration ecology
Concentration in conservation and restoration ecology,department of environmental science,conservation ecology
Concentration in food systems and sustainable agriculture,department of sustainability,food systems
Concentration in food systems and sustainable agriculture,department of environmental science,food systems
Concentration in environmental health,department of sustainability,environmental health
Concentration in environmental health,department of environmental science,environmental health
Energy efficiency study of dumbach hall and design of cuneo hall,department of sustainability,energy efficiency
Energy efficiency study of dumbach hall and design of cuneo hall,department of sustainability,design
Energy efficiency study of dumbach hall and design of cuneo hall,department of environmental science,energy efficiency
Energy efficiency study of dumbach hall and design of cuneo hall,department of environmental science,design
Campus landscape resilience and adaptation,department of sustainability,adaptation
Campus landscape resilience and adaptation,department of environmental science,adaptation
Conservation ecology,department of environmental science,conservation ecology
Fish and wildlife ecology and management,department of environmental science,management
Fish and wildlife ecology and management,department of environmental science,wildlife ecology
Forest ecology,department of environmental science,forest ecology
Landscape ecology,department of environmental science,landscape ecology
Landscape ecology,department of geospatial science,landscape ecology
Plant ecology,department of environmental science,plant ecology
Physiology and genetics,department of environmental science,physiology
Physiology and genetics,department of environmental science,genetics
Soil science and conservation,department of environmental science,conservation
Sustainability,department of environmental science,sustainability
Sustainability,department of geospatial science,sustainability
Biology and ecology***,department of environmental science,biology
Biology and ecology***,department of environmental science,ecology
Microeconomics foundations,department of environmental science,microeconomics
Mathematics,department of liberal studies,mathematics
Mathematics,department of environmental science,mathematics
Computing,department of environmental science,computing
Geographic information systems,department of environmental science,geographic information systems
Environmental geochemistry,department of environmental science,environmental geochemistry
Environmental microbiology,department of systems engineering,environmental microbiology
Environmental microbiology,department of environmental science,environmental microbiology
Environmental education,department of science education,environmental education
Environmental education,department of liberal studies,environmental education
Environmental education,department of environmental science,environmental education
Quantitative and spatial analysis,department of environmental science,spatial analysis
Quantitative and spatial analysis,department of environmental science,quantitative analysis
Human dimensions of natural resources and ecology,department of environmental science,human dimensions
Human dimensions of natural resources and ecology,department of environmental science,natural resources
Human dimensions of natural resources and ecology,department of environmental science,ecology
Water/biogeochemistry,department of environmental science,biogeochemistry
Water/biogeochemistry,department of environmental science,water
Statistics and research design,department of environmental science,statistics
Statistics and research design,department of environmental science,research design
Ecosystem science and conservation biology,department of environmental science,conservation biology
Ecosystem science and conservation biology,department of environmental science,ecosystem science
"Human dimensions of the environment, stewardship, and management",department of environmental science,management
"Human dimensions of the environment, stewardship, and management",department of environmental science,human dimensions
"Human dimensions of the environment, stewardship, and management",department of environmental science,environment
Soil biogeochemistry,department of environmental science,soil biogeochemistry
Atmospheric sciences,department of environmental science,atmospheric sciences
Coastal systems,department of environmental science,coastal systems
Glaciology,department of environmental science,glaciology
Water systems,department of environmental science,water systems
Legal aspects of environmental problems,department of environmental science,legal aspects
Legal aspects of environmental problems,department of environmental science,environmental problems
Environmental forensics,department of environmental science,environmental forensics
Environ 214s environmental ethics (occasional),department of environmental science,environmental ethics
"Environ 265 environmental law and policy (f, occasional)",department of environmental science,environmental policy
"Environ 265 environmental law and policy (f, occasional)",department of environmental science,environmental law
Environ 270a conservation biology and policy (marine lab) (su2),department of environmental science,conservation biology
Environ 270a conservation biology and policy (marine lab) (su2),department of environmental science,environmental policy
Environ 345 environmental politics in the us,department of environmental science,environmental politics
Environ 363 environmental economics and policy (sp),department of environmental science,environmental policy
Environ 363 environmental economics and policy (sp),department of environmental science,environmental economics
Environ 520/521resource and environmental economics (f),department of environmental science,environmental economics
Environ 520/521resource and environmental economics (f),department of environmental science,resource economics
Environ 551da conservation and development (marine lab) (sp),department of environmental science,conservation
Environ 551da conservation and development (marine lab) (sp),department of environmental science,development
Environ 226s or 226sk field methods (f),department of environmental science,field methods
Environ 322 hydro and environmental data analysis (f),department of environmental science,environmental data analysis
"Environ 335a drones in biology, ecology, and conservation (marine lab) (sp & su)",department of environmental science,conservation
"Environ 335a drones in biology, ecology, and conservation (marine lab) (sp & su)",department of environmental science,drones
"Environ 335a drones in biology, ecology, and conservation (marine lab) (sp & su)",department of environmental science,biology
"Environ 335a drones in biology, ecology, and conservation (marine lab) (sp & su)",department of environmental science,ecology
Environ 359 gis (sp),department of environmental science,gis
"Environ 369la biological oceanography (marine lab) (f, sp)",department of environmental science,biological oceanography
Cee 160l intro to environmental engineering (f),department of environmental science,environmental engineering
Environ 217 (restoration ecology) (sp [last 2015]),department of environmental science,restoration ecology
"Environ 228 (food and fuel for a growing population) (f, alternate)",department of environmental science,food
Environ 231 (energy and environment) (f),department of environmental science,energy
Environ 231 (energy and environment) (f),department of environmental science,environment
Environ 273la (marine ecology) (marine lab) (f/sp),department of environmental science,marine ecology
"Environ 274 (people, plants, and pollution) (f)",department of environmental science,pollution
"Environ 274 (people, plants, and pollution) (f)",department of environmental science,people
"Environ 274 (people, plants, and pollution) (f)",department of environmental science,plants
Environ 319a (aquaculture and the environment) (marine lab) (f),department of environmental science,aquaculture
Environ 319a (aquaculture and the environment) (marine lab) (f),department of environmental science,environment
Environ 359 (intro to gis) (sp),department of environmental science,gis
Environ 360 (environmental chemistry and toxicology) (sp),department of environmental science,environmental chemistry
Environ 360 (environmental chemistry and toxicology) (sp),department of environmental science,toxicology
Environ 362s (changing oceans) (f),department of environmental science,changing oceans
Environ 369la (biological oceanography) (marine lab) (sp),department of environmental science,biological oceanography
Environ 375a/la (biology & conservation of sea turtles (marine lab) (sp/su),department of environmental science,conservation
Environ 375a/la (biology & conservation of sea turtles (marine lab) (sp/su),department of environmental science,biology
Environmental studies,department of interdisciplinary studies,environmental studies
Environmental studies,department of environmental science,environmental studies
Gis certificate,department of environmental science,gis
"Ecosystem restoration (m.s., m.p.s., ph.d.)",department of environmental science,ecosystem restoration
"Environmental monitoring and modeling (m.s., m.p.s., ph.d.)",department of environmental science,environmental modeling
Environmental and natural resources policy (ph.d. only),department of environmental science,environmental policy
Environmental and natural resources policy (ph.d. only),department of environmental science,natural resources policy
"Human dimensions of the environment (m.s., m.p.s., ph.d.)",department of environmental science,human dimensions
"Human dimensions of the environment (m.s., m.p.s., ph.d.)",department of environmental science,environment
Nutritional epidemiology,department of epidemiology,nutritional epidemiology
Genetic epidemiology,department of epidemiology,genetic epidemiology
Gu 2324 infectious disease epidemiology,department of epidemiology,infectious disease epidemiology
Epidem 2719 reproductive epidemiology,department of epidemiology,reproductive epidemiology
Hospital & molecular epidemiology,department of epidemiology,molecular epidemiology
Chronic disease epidemiology,department of epidemiology,chronic disease epidemiology
Reproductive and perinatal epidemiology,department of epidemiology,reproductive epidemiology
Chronic disease / lifecourse epidemiology,department of epidemiology,chronic disease epidemiology
Gu 2106 epidemiology,department of epidemiology,epidemiology
Gu 2275 nutrition epidemiology in public health,department of epidemiology,public health
Gu 2227 psychiatric epidemiology,department of epidemiology,psychiatric epidemiology
Communicable disease epidemiology & control,department of epidemiology,control
Phd in epidemiology,department of epidemiology,epidemiology
Social epidemiology and health equity,department of epidemiology,health equity
Social epidemiology and health equity,department of epidemiology,social epidemiology
Imaging,department of epidemiology,imaging
Gu 2354 regression ii: categorical data analysis,department of epidemiology,categorical data analysis
Gu 2363 causal inference: design and analysis,department of epidemiology,analysis
Gu 2363 causal inference: design and analysis,department of epidemiology,causal inference
Gu 2363 causal inference: design and analysis,department of epidemiology,design
Gu 2342 global issues in public health nutrition: obesity and diabetes,department of epidemiology,public health nutrition
Gu 2342 global issues in public health nutrition: obesity and diabetes,department of epidemiology,diabetes
Gu 2342 global issues in public health nutrition: obesity and diabetes,department of epidemiology,obesity
Gu 2140 global issues in social and behavioral health,department of epidemiology,behavioral health
Gu 2137 topics in dynamic modeling,department of epidemiology,dynamic modeling
Epid 822 epidemiological methods iii,department of epidemiology,epidemiological methods
Epid 825 experimental design,department of epidemiology,experimental design
Bios 821 applied biostatistics ii,department of epidemiology,applied biostatistics
Bios 822 applied biostatistics iii,department of epidemiology,applied biostatistics
Bios 823 applied biostatistics iv,department of epidemiology,applied biostatistics
Epidem 2725 reproductive development from model organisms to humans,department of epidemiology,humans
Epidem 2725 reproductive development from model organisms to humans,department of epidemiology,model organisms
Aging & neurodegenerative diseases,department of epidemiology,aging
Cardiovascular & metabolic disease,department of epidemiology,cardiovascular disease
Epidemiologic methods,department of epidemiology,epidemiologic methods
Injury & violence,department of epidemiology,violence
"Physical activity, obesity & diabetes",department of epidemiology,physical activity
"Physical activity, obesity & diabetes",department of epidemiology,diabetes
"Physical activity, obesity & diabetes",department of epidemiology,obesity
Public health practice,department of epidemiology,public health practice
Social determinants of health,department of epidemiology,health
Social determinants of health,department of epidemiology,social determinants
Mph veterinary public health,department of epidemiology,mph
Mph clinical translational science,department of epidemiology,mph
Mathematical modeling,department of epidemiology,mathematical modeling
Methods and analysis,department of epidemiology,analysis
Methods and analysis,department of epidemiology,methods
"Design, conduct, and analysis of cohort studies",department of epidemiology,cohort studies
Regression i: linear regression and modeling,department of epidemiology,modeling
Regression i: linear regression and modeling,department of epidemiology,linear regression
"Survey design, analysis, and reporting",department of epidemiology,analysis
"Survey design, analysis, and reporting",department of epidemiology,reporting
"Survey design, analysis, and reporting",department of epidemiology,survey design
Introduction to agent-based modeling,department of epidemiology,agent-based modeling
Gu 2995 biostatistics for public health,department of epidemiology,public health
Gu 2995 biostatistics for public health,department of epidemiology,biostatistics
Gu 2325 behavioral and communication strategies for global epidemics,department of epidemiology,communication strategies
Gu 5380 data,department of epidemiology,data
Making in global public health,department of epidemiology,global public health
Gu 5120 hiv/aids from a global perspective,department of epidemiology,global perspective
Gu 5120 hiv/aids from a global perspective,department of epidemiology,hiv/aids
Gu 2344 maternal and child nutrition in public health,department of epidemiology,maternal nutrition
Gu 2344 maternal and child nutrition in public health,department of epidemiology,public health
Gu 2344 maternal and child nutrition in public health,department of epidemiology,child nutrition
Gu 2345 public health emergency preparedness and response: a global perspective,department of epidemiology,global perspective
Gu 2345 public health emergency preparedness and response: a global perspective,department of epidemiology,public health emergency preparedness
Gu 2198 simulations in biostatistics,department of epidemiology,simulations
Gu 2198 simulations in biostatistics,department of epidemiology,biostatistics
Gu 2255 substance use and public health,department of epidemiology,substance use
Gu 2255 substance use and public health,department of epidemiology,public health
Gu 2686 thesis i: practice & integrative learning experiences,department of epidemiology,practice
Biostatistics and bioinformatics,department of epidemiology,bioinformatics
Biostatistics and bioinformatics,department of epidemiology,biostatistics
Epid 823 epidemiological methods iv,department of epidemiology,epidemiological methods
Epid 824 epidemiological methods v,department of epidemiology,epidemiological methods
Epid 821 epidemiological methods ii,department of epidemiology,epidemiological methods
Cardiovascular and diabetes,department of epidemiology,diabetes
Clinical trials and methods,department of epidemiology,methods
Clinical trials and methods,department of epidemiology,clinical trials
Injury prevention,department of epidemiology,injury prevention
Obesity and nutritional,department of epidemiology,obesity
"Prevention, lifestyle, and physical activity",department of epidemiology,lifestyle
"Prevention, lifestyle, and physical activity",department of epidemiology,physical activity
"Prevention, lifestyle, and physical activity",department of epidemiology,prevention
"Reproductive, perinatal, and pediatric",department of epidemiology,pediatric
Healthy weight and dietary intake as they affect maternal and child health;,department of epidemiology,maternal health
Healthy weight and dietary intake as they affect maternal and child health;,department of epidemiology,child health
"Sleep, physical activity and cardiovascular disease (cvd) in women during and after pregnancy",department of epidemiology,cardiovascular disease
"Sleep, physical activity and cardiovascular disease (cvd) in women during and after pregnancy",department of epidemiology,physical activity
"Sleep, physical activity and cardiovascular disease (cvd) in women during and after pregnancy",department of epidemiology,pregnancy
"Sleep, physical activity and cardiovascular disease (cvd) in women during and after pregnancy",department of epidemiology,sleep
"Sleep, physical activity and cardiovascular disease (cvd) in women during and after pregnancy",department of epidemiology,women
Adverse pregnancy outcomes and the development of cvd outcomes in later life,department of epidemiology,cardiovascular disease
"Key outcomes in older women including fractures, cvd, falls, cancer and mortality",department of epidemiology,cardiovascular disease
"Key outcomes in older women including fractures, cvd, falls, cancer and mortality",department of epidemiology,cancer
Study of women’s health across the nation (swan),department of epidemiology,women's health
Ethnic studies (general),department of ethnic studies,ethnic studies
Analyze the intersections between ethnic studies and standard social studies curriculum.,department of ethnic studies,ethnic studies
"Ethnic studies, b.a.: chicanx and latinx studies concentration",department of ethnic studies,latinx studies
"Ethnic studies, b.a.: chicanx and latinx studies concentration",department of ethnic studies,ethnic studies
"Ethnic studies, b.a.: comparative ethnic studies concentration",department of ethnic studies,ethnic studies
"Ethnic studies, b.a.: genders and sexualities in communities of color concentration",department of ethnic studies,sexualities
"Ethnic studies, b.a.: genders and sexualities in communities of color concentration",department of ethnic studies,genders
"Ethnic studies, b.a.: genders and sexualities in communities of color concentration",department of ethnic studies,ethnic studies
"Ethnic studies, b.a.: american indian studies concentration (online)",department of ethnic studies,american indian studies
"Ethnic studies, b.a.: american indian studies concentration (online)",department of ethnic studies,ethnic studies
Ethnic studies program,department of ethnic studies,ethnic studies
African american studies,department of ethnic studies,african american studies
Chicana/o & latina/o studies,department of ethnic studies,chicana/o studies
Chicana/o & latina/o studies,department of ethnic studies,latina/o studies
Demonstrate competence in teaching social studies courses at the high school level.,department of ethnic studies,teaching
Demonstrate competence in teaching social studies courses at the high school level.,department of ethnic studies,high school
Demonstrate competence in teaching social studies courses at the high school level.,department of ethnic studies,social studies
Develop critical understanding of instructional methodologies and pedagogy.,department of ethnic studies,pedagogy
Africana/latino studies,department of ethnic studies,latino studies
3 crs.3 hrs.lat 124latin american theatre and performance (same as the 324),department of ethnic studies,performance
3 crs.3 hrs.lat 124latin american theatre and performance (same as the 324),department of ethnic studies,latin american theatre
3 crs.3 hrs.lat 125puerto rican culture and folklore,department of ethnic studies,folklore
history of puerto rico: 1900 to present,department of ethnic studies,history
history of puerto rico: 1900 to present,department of ethnic studies,puerto rico
history of latin america,department of ethnic studies,history
history of latin america,department of ethnic studies,latin america
history of the dominican republic,department of ethnic studies,history
introduction to mexican-american studies,department of ethnic studies,introduction
the latino experience in the u.s.,department of ethnic studies,u.s.
politics of puerto rican communities,department of ethnic studies,politics
puerto rican experience in urban u.s. settings,department of ethnic studies,urban settings
puerto rican experience in urban u.s. settings,department of ethnic studies,u.s.
peoples & cultures of latin america and the caribbean,department of ethnic studies,cultures
peoples & cultures of latin america and the caribbean,department of ethnic studies,latin america
peoples & cultures of latin america and the caribbean,department of ethnic studies,caribbean
peoples & cultures of latin america and the caribbean,department of ethnic studies,peoples
latino/a literature in the u.s.,department of ethnic studies,u.s.
latin american & caribbean society,department of ethnic studies,caribbean society
business development,department of event management,business development
event operations,department of event management,event operations
Event management minor,department of event management,event management
Event management minor,department of hospitality management,event management
Internship in event management ii,department of event management,event management
Sasm 3760 — sport facility and event management,department of event management,event management
Event operations,department of event management,event operations
Hospitality and culinary,department of event management,hospitality
Certificate in event planning and management,department of event management,event management
Stakeholder management,department of event management,stakeholder management
Marketing,department of event management,marketing
Marketing,department of organizational behavior,marketing
Risk management,department of event management,risk management
Fairs and festivals,department of event management,festivals
Exercise science b.s.,department of exercise science,exercise science
Physical education m.s. concentration in exercise science,department of exercise science,physical education
Physical education m.s. concentration in exercise science,department of exercise science,exercise science
"Physical education, sports and exercise science (ph.d.) concentration: exercise science",department of exercise science,exercise science
"Physical education, sports and exercise science (ph.d.) concentration: exercise science",department of exercise science,physical education
Bachelor of science in exercise science (bs),department of exercise science,bachelor of science
Bachelor of science in exercise science (bs),department of exercise science,exercise science
Master of science in exercise science (ms),department of exercise science,master of science
Master of science in exercise science (ms),department of exercise science,exercise science
Doctor of philosophy in exercise science (phd),department of exercise science,doctor of philosophy
Doctor of philosophy in exercise science (phd),department of exercise science,exercise science
Es 498 - capstone in exercise science credits:,department of exercise science,exercise science
Es 498 - capstone in exercise science credits:,department of exercise science,capstone
Es 650g - research in health and exercise sciences (mae) credits:,department of exercise science,health sciences
Es 650g - research in health and exercise sciences (mae) credits:,department of exercise science,research
Resources,department of mathematics,resources
Resources,department of risk management,resources
Resources,department of exercise science,resources
Master of science in advanced athletic training (ms),department of exercise science,master of science
Master of public health in physical activity and public health (mph),department of exercise science,physical activity
Master of public health in physical activity and public health (mph),department of exercise science,master of public health
Master of public health in physical activity and public health (mph),department of exercise science,public health
Doctor of physical therapy (dpt),department of exercise science,doctor of physical therapy
Exss 736. clinical methods in athletic training. 3 credits.,department of exercise science,athletic training
Exss 736. clinical methods in athletic training. 3 credits.,department of exercise science,clinical methods
Analysis of theories and techniques used in clinical sports medicine settings.,department of exercise science,theories
Analysis of theories and techniques used in clinical sports medicine settings.,department of exercise science,techniques
Exss 737. advanced muscular assessment and treatment. 3 credits.,department of exercise science,treatment
Exss 781. clinical exercise prescription and testing. 2-3 credits.,department of exercise science,testing
Sport and recreation administration,department of exercise science,sport administration
Health and kinesiology,department of exercise science,health
Health and kinesiology,department of exercise science,kinesiology
Analytics,department of exercise science,analytics
Identify career and educational options within the fitness industry.,department of sport science,career options
Identify career and educational options within the fitness industry.,department of wellness studies,career options
Identify career and educational options within the fitness industry.,department of exercise science,career options
"Identify the principles of motivation, basics of behavior change, and exercise adherence.",department of sport science,behavior change
"Identify the principles of motivation, basics of behavior change, and exercise adherence.",department of wellness studies,behavior change
"Identify the principles of motivation, basics of behavior change, and exercise adherence.",department of exercise science,behavior change
Explain energy metabolism pathways as applied to aerobic and anaerobic exercise.,department of sport science,aerobic exercise
Explain energy metabolism pathways as applied to aerobic and anaerobic exercise.,department of wellness studies,aerobic exercise
Explain energy metabolism pathways as applied to aerobic and anaerobic exercise.,department of exercise science,aerobic exercise
Identify proper nutrition for exercise to enhance fitness development.,department of sport science,exercise
Identify proper nutrition for exercise to enhance fitness development.,department of wellness studies,exercise
Identify proper nutrition for exercise to enhance fitness development.,department of exercise science,exercise
Sport psychology,department of sport science,sport psychology
Sport psychology,department of exercise science,sport psychology
Nutrition in health,department of nutrition,health
Nutrition in health,department of nutrition,nutrition
Nutrition in health,department of sport science,health
Nutrition in health,department of sport science,nutrition
Nutrition in health,department of exercise science,health
Nutrition in health,department of exercise science,nutrition
Analysis of human motion,department of sport science,analysis
Analysis of human motion,department of sport science,human motion
Analysis of human motion,department of exercise science,analysis
Analysis of human motion,department of exercise science,human motion
Physiology of exercise,department of sport science,physiology
Physiology of exercise,department of sport science,exercise
Physiology of exercise,department of exercise science,physiology
Physiology of exercise,department of exercise science,exercise
Scientific principles of conditioning,department of sport science,scientific principles
Scientific principles of conditioning,department of sport science,conditioning
Scientific principles of conditioning,department of exercise science,scientific principles
Scientific principles of conditioning,department of exercise science,conditioning
Prevention and care of athletic injury,department of sport science,prevention
Prevention and care of athletic injury,department of sport science,care
Prevention and care of athletic injury,department of exercise science,prevention
Prevention and care of athletic injury,department of exercise science,care
Health education/promotion,department of exercise science,health education
Health education/promotion,department of exercise science,promotion
Physical education teacher education,department of exercise science,physical education
Physical education teacher education,department of exercise science,teacher education
Sport administration,department of exercise science,sport administration
Es 202 - strength & conditioning anatomy credits:,department of exercise science,strength
Es 202 - strength & conditioning anatomy credits:,department of exercise science,anatomy
Es 202 - strength & conditioning anatomy credits:,department of exercise science,conditioning
Es 224 - research methods and data interpretation credits:,department of exercise science,data interpretation
Es 224 - research methods and data interpretation credits:,department of exercise science,research methods
"Es 245 - nutrition for health, fitness, and sport credits",department of exercise science,health
"Es 245 - nutrition for health, fitness, and sport credits",department of exercise science,fitness
"Es 245 - nutrition for health, fitness, and sport credits",department of exercise science,sport
"Es 245 - nutrition for health, fitness, and sport credits",department of exercise science,nutrition
Es 342 - biomechanics with lab credits,department of exercise science,biomechanics
Es 362 - ergogenic aids and human performance credits,department of exercise science,human performance
Es 367 - sport and recreation management credits,department of exercise science,sport management
