conference_journal,conference_topic,extracted_concept
english writing,The portrayal of 18th-century national optimism in literary pieces,literary history
english writing,The inception of modern american poetry and prose,american prose
english writing,The american renaissance and its role in literature,american renaissance
english writing,Political satire and its role and significance in american literary works,political satire
english writing,The context of telepathy and special powers as used across various works of literature,parapsychology
english writing,The context of telepathy and special powers as used across various works of literature,literature
english writing,The context of telepathy and special powers as used across various works of literature,telepathy
english writing,"Vampires, wolves, and witches as portrayed across several literary texts and works of fiction",literature
english writing,Magical realism and its history in literature,literature
english writing,Magical realism and its history in literature,magical realism
english writing,Magical realism and its history in literature,literary history
english writing,The portrayal of historical contextin literature,literature
english writing,The concept of moral dilemmas as portrayed and showcased across various literary pieces,literature
english writing,The concept of moral dilemmas as portrayed and showcased across various literary pieces,moral philosophy
english writing,"Natural history and its importance in various literary contexts, themes, and timelines",literary studies
english writing,"Natural history and its importance in various literary contexts, themes, and timelines",natural history
english writing,Elaborate on the context and scope of magic realism in literature.,magic realism
english writing,Elaborate on the context and scope of magic realism in literature.,literary studies
english writing,Folklore’s influence on contemporary fiction,contemporary fiction
english writing,Folklore’s influence on contemporary fiction,folklore studies
english writing,Representation of nature in modern literary pieces,nature representation
english writing,Representation of nature in modern literary pieces,literary studies
english writing,Spirituality as represented by reformist literature,reformist literature
english writing,Spirituality as represented by reformist literature,spirituality studies
english writing,Spirituality as represented by reformist literature,literary studies
english writing,the impact of modernism on classical literature,literature
english writing,the impact of modernism on classical literature,modernism
english writing,the role of contemporary art in modern literature,literature
english writing,the role of contemporary art in modern literature,contemporary art
english writing,representation of various ideas in “the lovely bones”,literature
english writing,the representation of social misfit in “eleanor oliphant is completely fine”,literature
english writing,the use of literary elements in “gone girl”,literature
enterprise architecture,Crisis management using enterprise architecture,crisis management
enterprise architecture,Crisis management using enterprise architecture,enterprise architecture
enterprise architecture,Enterprise architecture and reference models and frameworks,reference models
enterprise architecture,Enterprise architecture and reference models and frameworks,enterprise architecture
enterprise architecture,Enterprise architecture and reference models and frameworks,frameworks
enterprise architecture,Intelligent approaches and technologies in enterprise architecture,artificial intelligence
enterprise architecture,Intelligent approaches and technologies in enterprise architecture,enterprise architecture
enterprise architecture,Enterprise architecture and digital transformation,digital transformation
enterprise architecture,Enterprise architecture and digital transformation,enterprise architecture
enterprise architecture,Enterprise architecture education and knowledge transfer,knowledge transfer
enterprise architecture,Enterprise architecture education and knowledge transfer,enterprise architecture
enterprise architecture,Enterprise architecture education and knowledge transfer,education
entertainment marketing,Centrality of fandoms: placing fan communities at the core of marketing strategies.,marketing strategies
entertainment marketing,Centrality of fandoms: placing fan communities at the core of marketing strategies.,fan communities
entertainment marketing,Centrality of fandoms: placing fan communities at the core of marketing strategies.,fandom studies
entertainment marketing,Direct engagement: actively interacting with fans through various channels.,fan studies
entertainment marketing,Direct engagement: actively interacting with fans through various channels.,marketing communication
entertainment marketing,Direct engagement: actively interacting with fans through various channels.,consumer engagement
entertainment marketing,Tailored content: creating marketing materials and experiences specifically for fans.,consumer behavior
entertainment marketing,Tailored content: creating marketing materials and experiences specifically for fans.,fan studies
entertainment marketing,Tailored content: creating marketing materials and experiences specifically for fans.,content marketing
entertainment marketing,Empowerment of fans: recognizing and amplifying fan-generated content and advocacy.,consumer advocacy
entertainment marketing,Empowerment of fans: recognizing and amplifying fan-generated content and advocacy.,fan studies
entertainment marketing,Empowerment of fans: recognizing and amplifying fan-generated content and advocacy.,user-generated content
entertainment marketing,Building community: fostering a sense of belonging and connection among fans.,social psychology
entertainment marketing,Building community: fostering a sense of belonging and connection among fans.,community building
entertainment marketing,Building community: fostering a sense of belonging and connection among fans.,fan studies
environmental disease,Environmental exposure,environmental exposure
environmental disease,Risk assessment,environmental risk assessment
environmental disease,Environmental pollution,environmental pollution
environmental disease,Dna damage,dna damage
risk decisions,Risk assessment,risk assessment
risk decisions,Risk identification,risk identification
risk decisions,Risk mitigation,risk mitigation
risk decisions,Measurement and mitigation,risk measurement
risk decisions,Measurement and mitigation,risk mitigation
risk decisions,Monitoring and reporting,risk reporting
risk decisions,Monitoring and reporting,risk monitoring
technology policy,Citizen science,citizen science
technology policy,Humanitarian technology,humanitarian technology
technology policy,Cost of technology,technology economics
technology policy,Geopolitics of technology: how nation states approach technology in the pursuit of advantage,technology policy
technology policy,"Technology and the economy: the relationship between markets, business, and labor",economics
technology policy,"Racism, bigotry, violence & oppression: how tech exacerbates or solves such challenges",social justice
technology policy,Technology as a tool for corporate social responsibilities (csr),corporate social responsibility
technology policy,Technology as a tool for corporate social responsibilities (csr),business ethics
technology policy,Csr and infrastructure vulnerabilities,corporate social responsibility
technology policy,Csr and infrastructure vulnerabilities,infrastructure vulnerabilities
technology policy,Technological disasters and corporate responses,technological disasters
technology policy,Technological disasters and corporate responses,corporate responses
technology policy,Corporate alignment with un sustainable development goals,corporate sustainability
technology policy,Corporate alignment with un sustainable development goals,sustainable development
technology policy,"Ethics, regulation and technology",regulatory studies
technology policy,"Ethics, regulation and technology",ethics
technology policy,"Ethics, regulation and technology",technology
technology policy,Corporate responses to climate change,climate change
technology policy,Corporate responses to climate change,corporate responses
technology policy,Corporate digital responsibility,digital responsibility
technology policy,Use and (misuse) of ethics experts in ai/computing industry,artificial intelligence
technology policy,Use and (misuse) of ethics experts in ai/computing industry,ethics
technology policy,"Social media, hate crimes, and csr",corporate social responsibility
technology policy,"Social media, hate crimes, and csr",hate crimes
technology policy,"Social media, hate crimes, and csr",social media
environmental signaling,Environmental pollution,environmental science
environmental signaling,Omics approaches to identify environmental signaling sensors in plants.,plant biology
environmental signaling,Omics approaches to identify environmental signaling sensors in plants.,omics
environmental signaling,Environmental signals,environmental science
environmental signaling,Toxicants,toxicology
environmental signaling,Exposure assessment,exposure science
environmental economics,Evaluating the economic benefits of urban green spaces.,urban economics
environmental economics,Evaluating the economic benefits of urban green spaces.,urban green space management
environmental economics,Evaluating the economic benefits of urban green spaces.,environmental economics
environmental economics,Evaluating the economic consequences of air pollution in urban areas.,urban economics
environmental economics,Evaluating the economic consequences of air pollution in urban areas.,air pollution
environmental economics,Evaluating the economic consequences of air pollution in urban areas.,environmental economics
environmental economics,A review of the circular economy’s potential in reducing electronic waste.,electronic waste management
environmental economics,A review of the circular economy’s potential in reducing electronic waste.,circular economy
environmental economics,The role of climate finance in adaptation and mitigation efforts.,climate finance
environmental economics,The role of climate finance in adaptation and mitigation efforts.,climate change adaptation
environmental economics,The role of climate finance in adaptation and mitigation efforts.,climate change mitigation
environmental economics,Environmental economics,environmental economics
environmental economics,the economics of carbon offset projects in the aviation industry,environmental economics
environmental economics,the effect of renewable energy adoption on rural employment,renewable energy
environmental economics,the effect of renewable energy adoption on rural employment,rural employment
environmental economics,evaluating the economic feasibility of reforestation programs,reforestation
environmental economics,analyzing the role of environmental taxation in reducing pollution,pollution
environmental economics,analyzing the role of environmental taxation in reducing pollution,environmental taxation
environmental economics,Reviewing the economic impact of climate change mitigation policies.,climate change mitigation
environmental economics,Reviewing the economic impact of climate change mitigation policies.,policy analysis
environmental economics,Reviewing the economic impact of climate change mitigation policies.,environmental economics
environmental economics,Investigating the role of environmental entrepreneurship in sustainable development.,sustainable development
environmental economics,Investigating the role of environmental entrepreneurship in sustainable development.,environmental entrepreneurship
environmental economics,The scope of natural resource economics- implications for public institutions.,public institutions
environmental economics,The scope of natural resource economics- implications for public institutions.,natural resource economics
environmental economics,A general equilibrium approach to carbon permit banking,carbon markets
environmental economics,A general equilibrium approach to carbon permit banking,general equilibrium theory
environmental economics,A general equilibrium approach to carbon permit banking,environmental economics
environmental policy,Environmental economics,environmental economics
environmental policy,Environmental ethics,environmental ethics
environmental policy,The impact of tropical ranches on river and stream ecosystems and water quality,water quality
environmental policy,The impact of drought on food security in arid and semi-arid regions,food security
environmental policy,the impact of renewable energy policies on regional and global energy markets,renewable energy
environmental policy,the impact of renewable energy policies on regional and global energy markets,energy markets
environmental policy,the role of water markets in promoting sustainable water use in southern africa,water markets
environmental policy,the role of water markets in promoting sustainable water use in southern africa,sustainable water use
environmental policy,the impact of land-use change in rural areas on regional and global economies,global economies
environmental policy,the impact of land-use change in rural areas on regional and global economies,regional economies
environmental policy,the impact of environmental disasters on local and national economies,local economies
environmental policy,the impact of environmental disasters on local and national economies,national economies
environmental policy,the impact of environmental disasters on local and national economies,environmental disasters
environmental policy,the ethical implications of sea-level rise for future generations and vulnerable coastal populations,sea-level rise
environmental policy,the ethical implications of sea-level rise for future generations and vulnerable coastal populations,climate change
environmental policy,The role of ethical considerations in shaping sustainable use of natural forest resources,environmental ethics
environmental policy,The impact of environmental justice on marginalized communities and environmental policies in asia,environmental justice
environmental policy,The ethical implications of environmental risks and decision-making under uncertainty,environmental ethics
environmental policy,The ethical implications of environmental risks and decision-making under uncertainty,environmental risk assessment
environmental management,Economics of environmental management,environmental economics
environmental management,Environmental impact assessment,environmental impact assessment
environmental management,Environmental legislation,environmental law
environmental management,Environmental policies and politics,environmental policy
environmental management,Improved energy efficiency,energy efficiency
environmental management,Process modification for pollution prevention,pollution prevention
environmental management,Remediation of contaminated sites,environmental remediation
environmental management,Spill prevention and management,spill prevention
environmental management,Sustainable development approaches and methods,sustainable development
environmental management,Transport and fate of pollutants in the environment,pollutant transport
environmental management,Waste treatment and disposal,waste treatment
environmental management,Water and energy related issues,energy resources
environmental management,Water and energy related issues,water resources
environmental management,Enhancing the environmental and economic sustainability of microalgal technologies,economic sustainability
environmental management,Enhancing the environmental and economic sustainability of microalgal technologies,environmental sustainability
environmental planning,Environmental planning,environmental planning
environmental planning,The role of ecosystem services in urban areas and their economic value to a developing nation,ecosystem services
environmental planning,The role of ecosystem services in urban areas and their economic value to a developing nation,urban ecology
environmental planning,The role of ecosystem services in urban areas and their economic value to a developing nation,environmental economics
environmental planning,The impact of sea-level rise on coastal geomorphology and shoreline evolution,sea-level rise
environmental planning,The impact of sea-level rise on coastal geomorphology and shoreline evolution,coastal geomorphology
environmental planning,Investigating the role of erosion in shaping the landscape and impacting desertification,desertification
environmental planning,Investigating the role of erosion in shaping the landscape and impacting desertification,erosion
environmental planning,The impact of mining on soil stability and landslide potential,landslide risk
environmental planning,The impact of mining on soil stability and landslide potential,soil stability
environmental planning,Environmental policy and legislation,environmental legislation
environmental planning,Environmental policy and legislation,environmental policy
environmental planning,Sustainable development,sustainable development
environmental planning,Natural resource planning and management,natural resource planning
environmental planning,Natural resource planning and management,natural resource management
environmental planning,Environmental and strategic impact assessment,strategic impact assessment
environmental planning,Environmental and strategic impact assessment,environmental impact assessment
environmental planning,"Environmental economics, valuation and natural resource accounting",natural resource accounting
environmental planning,"Environmental economics, valuation and natural resource accounting",environmental economics
environmental planning,Regulatory and market-based instruments for environmental management,environmental policy
environmental planning,Regulatory and market-based instruments for environmental management,environmental economics
urban design,Environmental planning,environmental planning
urban design,Landscape architecture,landscape architecture
urban design,Urban design strategies,urban design
urban design,"Urban design of king abdullah financial district, saudi arabia, riyadh",urban design
urban design,Urban design | landscape| planning,urban planning
urban design,Urban design | landscape| planning,landscape architecture
urban design,Urban design | landscape| planning,urban design
urban design,10 inspiring interactive public space designs worldwide,public space design
environmental risk assessment,Gaussian plume model,environmental modeling
environmental risk assessment,Gaussian plume model,atmospheric dispersion modeling
environmental risk assessment,Ecotoxicology becomes stress ecology: from populations to ecosystems and landscapes,ecotoxicology
environmental risk assessment,Ecotoxicology becomes stress ecology: from populations to ecosystems and landscapes,landscape ecology
environmental risk assessment,"Environmental chemistry and exposure assessment: analysis, monitoring, fate and modelling",exposure assessment
environmental risk assessment,"Environmental chemistry and exposure assessment: analysis, monitoring, fate and modelling",environmental chemistry
environmental risk assessment,"Environmental policy, risk management, and science communication",science communication
environmental risk assessment,"Environmental policy, risk management, and science communication",risk management
environmental risk assessment,"Environmental policy, risk management, and science communication",environmental policy
environmental risk assessment,The source of the chemical or radionuclide,environmental chemistry
epidemiology of aging,Gene-environment interaction,gene-environment interaction
epidemiology of aging,Gene-environment interaction,environmental health
epidemiology of aging,Gene-environment interaction,genetics
epidemiology of aging,Molecular epidemiology research,molecular epidemiology
epidemiology of aging,Healthy aging,healthy aging
epidemiology of aging,Healthy aging,gerontology
epidemiology of aging,Age-related diseases,age-related diseases
epidemiology of aging,Dietary assessment,dietary assessment
epidemiology of aging,Nutrient-disease association,nutritional epidemiology
epidemiology of aging,Nutritional epidemiology research,nutritional epidemiology
epidemiology of aging,Obesity epidemiology,obesity epidemiology
epidemiology of aging,Cancer surveillance,cancer surveillance
epidemiology of aging,Cancer screening,cancer screening
epidemiology of aging,Cancer prevention,cancer prevention
epidemiology of aging,Cancer epidemiology research,cancer epidemiology
epidemiology of aging,Health screening,health screening
molecular epidemiology,Gene-environment interaction,gene-environment interaction
molecular epidemiology,Molecular epidemiology research,molecular epidemiology
molecular epidemiology,Experimental evolution,experimental evolution
molecular epidemiology,Gene expression,gene expression
molecular epidemiology,Molecular epidemiology and taxonomy,molecular epidemiology
molecular epidemiology,Molecular epidemiology and taxonomy,taxonomy
molecular epidemiology,Molecular pathways,molecular biology
molecular epidemiology,Proteomics,proteomics
molecular epidemiology,Genetics and genomics of pathogens and vectors,genomics
molecular epidemiology,Genetics and genomics of pathogens and vectors,genetics
molecular epidemiology,One health approaches to infectious diseases,infectious diseases
epigenetics,clinical epigenetics,clinical epigenetics
epigenetics,epigenetics & chromatin,epigenetics
epigenetics,epigenetics & chromatin,chromatin
epigenetics,molecular epigenetics (histone modifications; dna methylation; dna demethylation),molecular epigenetics
epigenetics,molecular epigenetics (histone modifications; dna methylation; dna demethylation),dna methylation
epigenetics,molecular epigenetics (histone modifications; dna methylation; dna demethylation),dna demethylation
epigenetics,molecular epigenetics (histone modifications; dna methylation; dna demethylation),histone modifications
epigenetics,network epigenetics,network epigenetics
epigenetics,single cell epigenetics,single cell epigenetics
epigenetics,"Epigenetics, ethics and society",ethics
epigenetics,"Epigenetics, ethics and society",epigenetics
epigenetics,Mitotic & meiotic heritability,genetics
epigenetics,Mitotic & meiotic heritability,mitosis
epigenetics,Mitotic & meiotic heritability,meiosis
epigenetics,Mitotic & meiotic heritability,heritability
epigenetics,Epigenetic drugs,epigenetics
epigenetics,Epigenetic drugs,pharmacology
epigenetics,Epigenetic technologies,epigenetics
epigenetics,Epigenetic technologies,biotechnology
epigenetics,Epigenetic bioengineering,epigenetics
epigenetics,Epigenetic bioengineering,bioengineering
epigenetics,computational epigenomics,computational biology
epigenetics,computational epigenomics,epigenomics
epigenetics,epigenetic toxicology,toxicology
epigenetics,epigenetic toxicology,epigenetics
epigenetics,epigenetic studies using model organisms (vertebrates; invertebrates; plants; unicellular systems),epigenetics
epigenetics,nuclear organization,nuclear organization
epigenetics,nuclear organization,cell biology
epilepsy,personalized technologies in epilepsy,neuroscience
epilepsy,personalized technologies in epilepsy,personalized medicine
equitable development,Leveraging ai for inclusive and equitable development,inclusive development
equitable development,Leveraging ai for inclusive and equitable development,artificial intelligence
estate tax,Estate planning tax strategies,tax strategies
estate tax,Estate planning tax strategies,estate planning
estate tax,Tax planning,tax planning
ethnography,Questioning “digital ethnography” in the age of omnipresent computers.,digital ethnography
ethnography,Questioning “digital ethnography” in the age of omnipresent computers.,computer science
ethnography,Research on the third sector using digital ethnography.,digital ethnography
ethnography,Research on the third sector using digital ethnography.,third sector studies
ethnography,The social network on the dark web using digital ethnography.,social network analysis
ethnography,The social network on the dark web using digital ethnography.,digital ethnography
ethnography,The social network on the dark web using digital ethnography.,dark web studies
ethnography,"In the era of information warfare, digital ethnography.",digital ethnography
ethnography,"In the era of information warfare, digital ethnography.",information warfare
ethnography,Using embedded visual techniques to reveal consumer values considering digital ethnography.,visual ethnography
ethnography,Using embedded visual techniques to reveal consumer values considering digital ethnography.,digital ethnography
ethnography,Using embedded visual techniques to reveal consumer values considering digital ethnography.,consumer studies
ethnography,Cross-cultural digital ethnography interpretation: the role of the religious context,religious studies
ethnography,Cross-cultural digital ethnography interpretation: the role of the religious context,digital ethnography
ethnography,Ethnography in troubled times,ethnography
ethnography,Writing ethnography,ethnography
ethnography,Doing ethnography beyond place: digital adaptations and conceptual boundaries,ethnography
ethnography,Doing ethnography beyond place: digital adaptations and conceptual boundaries,digital ethnography
ethnography,"2025: narratives of struggle and hope: ethnography, education, and democracy at a crossroads",ethnography
ethnography,"2025: narratives of struggle and hope: ethnography, education, and democracy at a crossroads",education
ethnography,"2025: narratives of struggle and hope: ethnography, education, and democracy at a crossroads",democracy
ethnography,How do history and ethnography complement each other?,ethnography
ethnography,How do history and ethnography complement each other?,history
ethnography,Advice on conducting digital ethnography during pandemics.,digital ethnography
ethnography,Medical students using twitter for professional development: a digital ethnography.,digital ethnography
ethnography,Medical students using twitter for professional development: a digital ethnography.,medical education
ethnography,The use of digital ethnography to improve the erasmus+ mobility program.,digital ethnography
ethnography,Teach for america’s digital ethnography,digital ethnography
ethnography,Understanding how faculty members use digital ethnography for professional development,digital ethnography
ethnography,Stand-up comedy’s perspective on racism: a digital ethnography of netflix,digital ethnography
ethnography,"A digital ethnography of instagram: likes, hashtags, comments, and publics",digital ethnography
ethnography,Modern ethnographic digital techniques for social research,social research
ethnography,Conducting ethnographic studies in the digital era.,ethnography
ethnography,Conducting ethnographic studies in the digital era.,digital ethnography
ethnography,"Networks of care, collaboration, and friendship in the field",social networks
ethnography,"Networks of care, collaboration, and friendship in the field",friendship studies
ethnography,"Networks of care, collaboration, and friendship in the field",collaboration studies
ethnography,"Networks of care, collaboration, and friendship in the field",care studies
ethnography,Multi-modal ethnographic methods,ethnography
ethnography,Ethical considerations in and of the field,ethics
ethnography,Ethical considerations in and of the field,research ethics
ethnography,Culture and diversity in education.,diversity studies
ethnography,Culture and diversity in education.,cultural studies
ethnography,Culture and diversity in education.,education
ethnography,Tattoo significance of the maori,ethnography
ethnography,Tattoo significance of the maori,cultural anthropology
ethnography,"Culture, globalization, and intercultural adaptation",cultural anthropology
ethnography,"Culture, globalization, and intercultural adaptation",intercultural studies
ethnography,Jewish immigrants in the west,migration studies
ethnography,Nursing home culture in the us,medical anthropology
ethnography,Impact of culture on the american family system and structure,cultural anthropology
ethnography,Impact of culture on the american family system and structure,family studies
ethnography,Rituals of the japanese tea ceremony.,ritual studies
ethnography,American culture reflection in sport.,cultural studies
ethnography,American culture reflection in sport.,sports studies
ethnography,The struggles of the muslim population in france.,muslim studies
ethnography,The struggles of the muslim population in france.,french studies
ethnography,Culture and representations: why culture and representation matter.,cultural studies
ethnography,Culture and representations: why culture and representation matter.,representation studies
ethnography,Religious practices of american buddhists,buddhism
ethnography,Religious practices of american buddhists,religious studies
ethnography,The concept of social status in any african community,social anthropology
ethnography,The concept of social status in any african community,social stratification
ethnography,The view of the american black community on racist narratives,ethnic studies
ethnography,The view of the american black community on racist narratives,race studies
ethnography,The impact of religious beliefs and practices on everyday lives,religious studies
ethnography,The main greeting gestures in native chinese societies,cultural anthropology
ethnography,The efficiency of online communities in providing support for people with shared experiences.,online communities
ethnography,The efficiency of online communities in providing support for people with shared experiences.,social support
ethnography,The experiences of people living with adhd.,adhd studies
ethnography,The peculiarities of polygamous marriages in different asian societies.,marriage studies
ethnography,The peculiarities of polygamous marriages in different asian societies.,polygamy
ethnography,What are the ethical issues associated with ethnographic research?,ethics
ethnography,What are the history and current state of ethnographic research?,history of ethnography
ethnography,What are the history and current state of ethnographic research?,ethnographic research
ethnography,How does ethnographic research help in understanding different cultures?,ethnography
ethnography,How does ethnographic research help in understanding different cultures?,cultural studies
ethnography,How do wedding traditions differ in china and the us?,wedding traditions
ethnography,Multicultural vs. citizenship education.,multicultural education
ethnography,Multicultural vs. citizenship education.,civic education
ethnography,Different attitudes toward the afterlife between christians and hindus.,religious studies
ethnography,Differences in leisure time between young men and women,gender studies
ethnography,Differences in leisure time between young men and women,social behavior
ethnography,Shopping habits of millennials and baby boomers,consumer behavior
ethnography,Shopping habits of millennials and baby boomers,social demographics
ethnography,Concepts of beauty in ancient greece and modern america,cultural studies
ethnography,Concepts of beauty in ancient greece and modern america,beauty standards
ethnography,Hobbies popular among single and married people,social behavior
ethnography,Emmett scott high school’s social vs. academic culture,educational sociology
ethnography,Emmett scott high school’s social vs. academic culture,social culture
ethnography,Shopping experiences of people with and without visual impairments.,shopping behavior
ethnography,Comparing new year celebrations in the us and china.,cultural anthropology
ethnography,Comparing new year celebrations in the us and china.,celebration studies
ethnography,A typical day for a rural and urban resident.,urban studies
ethnography,A typical day for a rural and urban resident.,rural studies
ethnography,Modern vs. traditional or alternative medicine.,alternative medicine
ethnography,Modern vs. traditional or alternative medicine.,traditional medicine
ethnography,Modern vs. traditional or alternative medicine.,medical anthropology
ethnography,Caregiving practices in african american versus hispanic communities.,hispanic studies
ethnography,Caregiving practices in african american versus hispanic communities.,caregiving studies
ethnography,Caregiving practices in african american versus hispanic communities.,african american studies
ethnography,How does humor differ in western and eastern cultures?,western culture
ethnography,How does humor differ in western and eastern cultures?,eastern culture
ethnography,How does humor differ in western and eastern cultures?,humor studies
ethnography,Comparing attitudes toward immigrants in the us and russia.,immigration studies
ethnography,Different perceptions of motherhood in eastern and western cultures.,western culture
ethnography,Different perceptions of motherhood in eastern and western cultures.,motherhood studies
ethnography,Different perceptions of motherhood in eastern and western cultures.,eastern culture
ethnography,Egypt families in changed and traditional forms.,family studies
ethnography,The social dynamics of a small business owner’s community.,community studies
ethnography,The social dynamics of a small business owner’s community.,social dynamics
ethnography,The social dynamics of a small business owner’s community.,small business studies
ethnography,the cultural practices of zoroastrian communities,cultural anthropology
ethnography,the effects of diverse culture of a business in uae,cultural studies
ethnography,does globalization impact the cultural traditions of indigenous tribes?,cultural anthropology
ethnography,The social dynamics of the knotfest music festival.,music festivals
ethnography,The social dynamics of the knotfest music festival.,social dynamics
ethnography,The role of sports in community building in argentina.,community studies
ethnography,The role of sports in community building in argentina.,argentine studies
ethnography,The role of sports in community building in argentina.,sports studies
ethnography,The influence of globalization on arab culture.,globalization studies
ethnography,The influence of globalization on arab culture.,arab cultural studies
ethnography,Does music contribute to shaping the gender identities of american adolescents?,gender studies
ethnography,Does music contribute to shaping the gender identities of american adolescents?,music studies
ethnography,the cultural practices and traditions of native american holidays,ethnography
ethnography,the cultural practices and traditions of native american holidays,cultural anthropology
ethnography,"celebration of eid al-fitr: its importance, traditions, and meaning",religious studies
ethnography,investigating gender and power dynamics within amish households,gender studies
ethnography,the role of anonymity in the construction of “alcoholic” identity,identity studies
ethnography,the role of anonymity in the construction of “alcoholic” identity,medical anthropology
ethnography,the role of religion in anonymous alcoholics’ recovery,religious studies
ethnography,the role of religion in anonymous alcoholics’ recovery,medical anthropology
ethnography,White non-hispanics: ethnic groups discrimination immigration.,ethnic studies
ethnography,White non-hispanics: ethnic groups discrimination immigration.,discrimination studies
ethnography,White non-hispanics: ethnic groups discrimination immigration.,immigration studies
ethnography,Examining the role of identity performance in lgbtq+ online communities.,identity studies
ethnography,Examining the role of identity performance in lgbtq+ online communities.,online communities
ethnography,Examining the role of identity performance in lgbtq+ online communities.,lgbtq+ studies
ethnography,Organizational culture and diversity within the modern mnc.,diversity studies
ethnography,Organizational culture and diversity within the modern mnc.,organizational culture
ethnography,Organizational culture and diversity within the modern mnc.,multinational corporations
ethnography,The role of traditional healers in afro-caribbean religious communities.,traditional healing
ethnography,Religious attitudes within death and black metal communities.,religious studies
ethnography,Religious attitudes within death and black metal communities.,death metal studies
ethnography,Religious attitudes within death and black metal communities.,black metal studies
ethnography,Differences between slavery and indentured servitude.,indentured servitude
ethnography,Differences between slavery and indentured servitude.,slavery
european legal history,What insights in legal history have been made possible by the use of digital methods and resources?,legal history
european legal history,How do you integrate digital methods with hermeneutical and narrative aspects of your work?,narrative studies
european legal history,How do you integrate digital methods with hermeneutical and narrative aspects of your work?,hermeneutics
european legal history,How do data-driven methods differ from other approaches in legal history?,legal history
exercise,Impact of exercise medicine on chronic disease management,exercise medicine
exercise,Impact of exercise medicine on chronic disease management,chronic disease management
exercise,Exercise interventions for osteoarthritis patients,osteoarthritis
exercise,Exercise interventions for osteoarthritis patients,exercise interventions
exercise,Tailoring exercise prescriptions for individual needs,exercise prescriptions
exercise,Physical activity and mental health benefits,mental health
exercise,Physical activity and mental health benefits,physical activity
experiential graphic design,Advancing wayfinding & experiential graphic design,experiential graphic design
experiential graphic design,Advancing wayfinding & experiential graphic design,wayfinding
experiential graphic design,Xgd: artwork and graphical messaging,graphic messaging
experiential graphic design,Xgd: exterior signage,exterior signage
experiential graphic design,"Xgd: interior signage, displays and branding",branding
experiential graphic design,"Xgd: interior signage, displays and branding",interior signage
experiential graphic design,Xgd: wayfinding systems,wayfinding systems
experimental analysis of behavior,Experimental analysis of behavior,experimental analysis of behavior
experimental analysis of behavior,Special issue: operant demand and public health,operant behavior
experimental analysis of behavior,Special issue: operant demand and public health,public health
experimental economics,Recognizing and hypothesizing on the position of intuition in experimental economics studies.,experimental economics
experimental economics,Recognizing and hypothesizing on the position of intuition in experimental economics studies.,intuition
experimental economics,Experimental assessment of the behavioral factors influencing stock market bubbles.,behavioral economics
experimental economics,Experimental assessment of the behavioral factors influencing stock market bubbles.,stock market bubbles
experimental economics,The impact of framing and messaging on charitable donation behavior: an experimental study.,framing effects
experimental economics,The impact of framing and messaging on charitable donation behavior: an experimental study.,behavioral economics
experimental economics,The impact of framing and messaging on charitable donation behavior: an experimental study.,charitable giving
experimental economics,The effects of prospect theory on investment behavior: an experimental approach.,investment behavior
experimental economics,The effects of prospect theory on investment behavior: an experimental approach.,behavioral economics
experimental economics,The effects of prospect theory on investment behavior: an experimental approach.,prospect theory
experimental economics,Behavioral biases in healthcare decision-making: an experimental study.,behavioral economics
experimental economics,Behavioral biases in healthcare decision-making: an experimental study.,healthcare decision-making
experimental economics,The influence of time preferences on savings behavior: an experimental analysis.,experimental economics
experimental economics,The influence of time preferences on savings behavior: an experimental analysis.,time preferences
experimental economics,The influence of time preferences on savings behavior: an experimental analysis.,savings behavior
experimental economics,The role of trust in online banking decisions: an experimental study of consumer behavior.,experimental economics
experimental economics,The role of trust in online banking decisions: an experimental study of consumer behavior.,trust
experimental economics,The role of trust in online banking decisions: an experimental study of consumer behavior.,online banking
experimental economics,The role of trust in online banking decisions: an experimental study of consumer behavior.,consumer behavior
experimental economics,Behavioral factors influencing cryptocurrency adoption: evidence from experiments.,behavioral economics
experimental economics,Behavioral factors influencing cryptocurrency adoption: evidence from experiments.,experimental economics
experimental nuclear physics,Modern experiments in nuclear physics,nuclear physics
experimental nucleon physics,Nuclear physics,nuclear physics
experimental pathology,Cellular pathology,cell pathology
experimental pathology,Molecular pathology,molecular pathology
experimental pathology,Hematopathology,hematopathology
experimental pathology,Ophthalmic pathology,ophthalmic pathology
experimental pathology,Oncopathology,oncopathology
experimental pathology,Neuropathology,neuropathology
experimental pathology,Histopathology,histopathology
experimental pathology,Dermatopathology,dermatopathology
experimental pathology,Immunopathology,immunopathology
experimental pathology,Diagnostic pathology,diagnostic pathology
experimental pathology,Surgical pathology,surgical pathology
experimental psychology,The role of mirror neurons in empathy and learning.,empathy
experimental psychology,The role of mirror neurons in empathy and learning.,mirror neurons
experimental psychology,The role of mirror neurons in empathy and learning.,learning
experimental psychology,The impact of sleep on memory consolidation.,sleep
experimental psychology,The impact of sleep on memory consolidation.,memory consolidation
experimental psychology,Neuroplasticity and memory: how experiences rewire the brain.,memory
experimental psychology,Neuroplasticity and memory: how experiences rewire the brain.,neuroplasticity
experimental psychology,The effects of stress on memory retrieval.,stress
experimental psychology,The effects of stress on memory retrieval.,memory retrieval
experimental psychology,Comparative analysis of short-term and long-term memory.,long-term memory
experimental psychology,Comparative analysis of short-term and long-term memory.,short-term memory
experimental psychology,The role of repetition and spacing in learning effectiveness.,learning
